Operacao,TamanhoEntrada,TempoExecucao(ns),MemoriaUso(bytes)
I,6175,500,0
I,6180,400,0
I,6185,500,0
I,6190,500,0
I,6195,500,0
I,6200,400,0
I,6205,500,0
I,6210,500,0
I,6215,500,0
I,6220,500,0
I,6225,500,0
I,6230,500,0
I,6235,500,0
I,6240,500,0
I,6245,500,0
I,6250,500,0
I,6255,400,0
I,6260,400,0
I,6265,400,0
I,6270,500,0
I,6275,500,0
I,6280,500,0
I,6285,500,0
I,6290,400,0
I,6295,500,0
I,6300,500,0
I,6305,400,0
I,6310,500,0
I,6315,400,0
I,6320,500,0
I,6325,500,0
I,6330,500,0
I,6335,400,0
I,6340,400,0
I,6345,400,0
I,6350,400,0
I,6355,400,0
I,6360,400,0
I,6365,400,0
I,6370,400,0
I,6375,400,0
I,6380,400,0
I,6385,400,0
I,6390,400,0
I,6395,400,0
I,6400,400,0
I,6405,400,0
I,6410,400,0
I,6415,500,0
I,6420,400,0
I,6425,400,0
I,6430,400,0
I,6435,400,0
I,6440,400,0
I,6445,400,0
I,6450,400,0
I,6455,400,0
I,6460,400,0
I,6465,400,0
I,6470,400,0
I,6475,400,0
I,6480,400,0
I,6485,400,0
I,6490,400,0
I,6495,400,0
I,6500,400,0
I,6505,400,0
I,6510,400,0
I,6515,400,0
I,6520,400,0
I,6525,400,0
I,6530,400,0
I,6535,400,0
I,6540,400,0
I,6545,400,0
I,6550,400,0
I,6555,400,0
I,6560,400,0
I,6565,400,0
I,6570,500,0
I,6575,600,0
I,6580,500,0
I,6585,500,0
I,6590,500,0
I,6595,500,0
I,6600,500,0
I,6605,500,0
I,6610,500,0
I,6615,600,0
I,6620,500,0
I,6625,500,0
I,6630,500,0
I,6635,500,0
I,6640,500,0
I,6645,700,0
I,6650,500,0
I,6655,500,0
I,6660,500,0
I,6665,500,0
I,6670,500,0
I,6675,500,0
I,6680,500,0
I,6685,500,0
I,6690,500,0
I,6695,500,0
I,6700,500,0
I,6705,500,0
I,6710,500,0
I,6715,500,0
I,6720,500,0
I,6725,500,0
I,6730,500,0
I,6735,500,0
I,6740,500,0
I,6745,500,0
I,6750,500,0
I,6755,500,0
I,6760,500,0
I,6765,500,0
I,6770,500,0
I,6775,500,0
I,6780,500,0
I,6785,500,0
I,6790,500,0
I,6795,500,0
I,6800,500,0
I,6805,500,0
I,6810,500,0
I,6815,500,0
I,6820,500,0
I,6825,400,0
I,6830,500,0
I,6835,500,0
I,6840,500,0
I,6845,500,0
I,6850,500,0
I,6855,500,0
I,6860,500,0
I,6865,500,0
I,6870,500,0
I,6875,500,0
I,6880,600,0
I,6885,500,0
I,6890,500,0
I,6895,500,0
I,6900,500,0
I,6905,500,0
I,6910,500,0
I,6915,500,0
I,6920,500,0
I,6925,500,0
I,6930,500,0
I,6935,500,0
I,6940,500,0
I,6945,500,0
I,6950,500,0
I,6955,500,0
I,6960,500,0
I,6965,500,0
I,6970,500,0
I,6975,400,0
I,6980,400,0
I,6985,400,0
I,6990,500,0
I,6995,500,0
I,7000,500,0
I,7005,500,0
I,7010,500,0
I,7015,600,0
I,7020,500,0
I,7025,500,0
I,7030,500,0
I,7035,500,0
I,7040,300,0
I,7045,300,0
I,7050,300,0
I,7055,300,0
I,7060,300,0
I,7065,300,0
I,7070,300,0
I,7075,300,0
I,7080,300,0
I,7085,300,0
I,7090,300,0
I,7095,200,0
I,7100,200,0
I,7105,300,0
I,7110,300,0
I,7115,300,0
I,7120,200,0
I,7125,300,0
I,7130,300,0
I,7135,300,0
I,7140,300,0
I,7145,300,0
I,7150,300,0
I,7155,300,0
I,7160,300,0
I,7165,300,0
I,7170,300,0
I,7175,300,0
I,7180,300,0
I,7185,300,0
I,7190,300,0
I,7195,300,0
I,7200,300,0
I,7205,300,0
I,7210,300,0
I,7215,300,0
I,7220,300,0
I,7225,300,0
I,7230,300,0
I,7235,300,0
I,7240,300,0
I,7245,300,0
I,7250,300,0
I,7255,300,0
I,7260,500,0
I,7265,500,0
I,7270,300,0
I,7275,300,0
I,7280,300,0
I,7285,200,0
I,7290,300,0
I,7295,300,0
I,7300,300,0
I,7305,300,0
I,7310,300,0
I,7315,300,0
I,7320,300,0
I,7325,300,0
I,7330,300,0
I,7335,300,0
I,7340,300,0
I,7345,300,0
I,7350,300,0
I,7355,300,0
I,7360,300,0
I,7365,300,0
I,7370,300,0
I,7375,300,0
I,7380,300,0
I,7385,300,0
I,7390,300,0
I,7395,300,0
I,7400,300,0
I,7405,300,0
I,7410,300,0
I,7415,300,0
I,7420,300,0
I,7425,300,0
I,7430,300,0
I,7435,300,0
I,7440,300,0
I,7445,300,0
I,7450,300,0
I,7455,300,0
I,7460,300,0
I,7465,200,0
I,7470,300,0
I,7475,300,0
I,7480,300,0
I,7485,300,0
I,7490,200,0
I,7495,300,0
I,7500,300,0
I,7505,300,0
I,7510,300,0
I,7515,300,0
I,7520,300,0
I,7525,300,0
I,7530,300,0
I,7535,300,0
I,7540,300,0
I,7545,300,0
I,7550,300,0
I,7555,300,0
I,7560,300,0
I,7565,300,0
I,7570,300,0
I,7575,300,0
I,7580,200,0
I,7585,300,0
I,7590,200,0
I,7595,300,0
I,7600,200,0
I,7605,200,0
I,7610,300,0
I,7615,200,0
I,7620,200,0
I,7625,200,0
I,7630,200,0
I,7635,300,0
I,7640,200,0
I,7645,200,0
I,7650,300,0
I,7655,200,0
I,7660,300,0
I,7665,200,0
I,7670,200,0
I,7675,200,0
I,7680,200,0
I,7685,200,0
I,7690,300,0
I,7695,200,0
I,7700,300,0
I,7705,200,0
I,7710,300,0
I,7715,200,0
I,7720,200,0
I,7725,200,0
I,7730,300,0
I,7735,200,0
I,7740,200,0
I,7745,300,0
I,7750,200,0
I,7755,300,0
I,7760,300,0
